video_id,title,description,url,upload_date,channel_name,channel_id,view_count,like_count,comment_count,duration,thumbnail_url,tags,category_id,search_keyword
OIY2tWT3HHI,"전공생이 알려주는 AI(인공지능) 필수지식, 누구든 10분이면 이해 끝 | [허성범의 AI학개론]  -1강","00:00 인트로
00:38 교수 소개
01:00 강의를 만들게 된 이유
01:52 1.AI란 무엇인가?
04:20 2.딥러닝이란?
06:59 3.AI는 언제부터 주목 받았을까?
08:09 4. 알아두면 좋은 AI 전공 용어
12:11 현시대 AI의 파워
13:17 ⭐️ 5.AI 시장과 미래 (중요) ⭐️
16:30 성범 교수님의 국내 AI 관련 통찰
17:54 앞으로의 강의 계획 소개

여러분들은 AI에 대해서 얼마나 알고 계신가요? 
AI가 무엇인지, 어떻게 쓰는 건지, 앞으로 대비해야할 건 따로 없는지!!!
이 모든게 궁금한 여러분들을 위해서 신규 기획 [AI학개론]을 준비해 보았습니다.

AI에 대한 관심이 넘쳐나는 것 대비, 정말로 필요한 양질의 지식을 제공해주는 곳이 얼마 없더라구요.
그래서, 부디 제가 사랑하는 사람들이 이 시리즈를 보면서 AI에 대해 명확한 지식을 터득하고
앞으로의 미래를 설계하는데에 큰 도움을 받을 수 있기를 바라는 마음에서 영상 찍어 보았습니다.

혹시 보면서  궁금한게 있으시다면 댓글로 많이 남겨주세요! 
많은 분들께 필요해보이는 주제들 위주로 다음 강의 준비해보겠습니다 :)

언제나 좋은 하루 되시길!!



*instagram : horang.wave
*contact : horangwave@yofcompany.com",https://www.youtube.com/watch?v=OIY2tWT3HHI,2025-02-23,허성범 Horang,UCWX_9JS3DhPQZIsgjCSU0tw,472772,19208,831,PT20M11S,https://i.ytimg.com/vi/OIY2tWT3HHI/hqdefault.jpg,"허성범, 카이스트 허성범, horangwave, horang, korean model, korean student, heoseongbeom",22,인공지능
vzEUdU_ZWpE,소름돋는 AI 언어로 소통하는 두 인공지능,#shorts #인공지능 #AI,https://www.youtube.com/watch?v=vzEUdU_ZWpE,2025-09-08,철멈뭄,UCC6DqG2RSTNAR40-KR67isg,401177,7181,221,PT47S,https://i.ytimg.com/vi/vzEUdU_ZWpE/hqdefault.jpg,"인공지능, 공포, 소름, ai, 소름돋는, 무서운, 소름 돋는, 인공 지능, 초인공지능, 침략, 인류, 멸망, 인류멸망",24,인공지능
vfgNii1Fras,"지시 거부한 인공지능, 한국서 유독 인기 [경제콘서트] / KBS  2025.05.27.","'박대기의 핫클립'입니다.

 최근 중국에서 열린 로봇 격투기 대회입니다.

 자연스런 몸놀림에 이러다 사람도 치는 거 아닌지, 겁나기도 합니다.

 ""인공지능 로봇이 반란을 일으켜 인류를 공격한다"", SF 영화의 단골 소재인데요.

 더이상 상상 속 이야기만이 아니게 됐습니다.

 [영화 '아이, 로봇' : ""나는 그를 죽이지 않았어!""]

 살인을 의심 받자 격렬하게 반발하는 로봇.

 '전원을 끄라'는 인간의 말을 거부하더니, 집단으로 폭동을 일으킵니다.

 이 영화처럼 인공지능이 인간의 지시를 거부한 사례가 현실에서도 결국 보고됐습니다.

 바로 AI 프로그램 중에 우리에게 가장 친숙한 챗GPT 얘긴데요.

 '멈추라'는 지시에도 수학 문제를 푼 것입니다.

 인공지능 보안업체  '팰리세이드 리서치'에 따르면,  챗GPT는 프로그램 코드까지 조작해가며 멈추라는 요구를 무시했다고 합니다.

 인간의 지시를 거부한 첫 사례라는 주장인데요.

 지난해 노벨상을 받은 '인공지능의 대부' 제프리 힌턴은 인공지능을 아기 호랑이에 비유했습니다.

 ""성장한 뒤 당신을 죽이지 않을 걸 확신할 수 없다면 걱정해야 한다""고 경고했는데요.

 이런 우려 속에서도 유독 우리나라에선 챗GPT가 엄청난 인기입니다.

 [KBS 뉴스/지난달 : ""AI 관련 자격증 응시자를 봤더니, 5명 중 1명은 50대 이상인 것으로 나타날 정도인데요.""]

 [박순옥/AI 자격시험 응시생/66세 : ""이것(AI)을 알아야 내가 앞으로 살아가는 세상이 재미있을 것 같고, 또 주변에 어린애들도 내가 그걸 알아야 같이 서로 대화도 할 수 있을 것 같고….""]

 새롭고, 빠른 것을 갈망하는 사람이 많아설까요? 

 챗GPT를 돈 내고 이용하는 구독자 수는  우리나라가 미국에 이어 전 세계 2등입니다.

 한국 법인을 별도로  세울 정도인데요.

 학교 숙제서부터 번역과 자료 제작,  자기소개서 등 일상의 모든 사무에 이용합니다.

 특히 사진을 만화 그림체로 바꾸는 게 최근 대유행하면서, 남녀노소 부담 없이  챗GPT에 접근하게 됐죠.

 [KBS 싱크로유 : ""(두 유 싱크 어바웃…어?) 틀리는 게 어디 있어요! 하다가 포기하는 AI가 어디 있어요?""]

 인간인지 AI인지 맞추는 예능까지 나왔습니다.

 목소리의 정체는 인공지능. 

 모두를 감쪽같이 속인 겁니다.

 정교해지는 AI 기술에  인간의 설 자리가 좁아지고 있는데요. 

 실제로 마이크로소프트는 최근 6천 명을 해고했는데 개발자들이 상당수 포함됐습니다.

 AI 프로그램이 '창조주'격인 인간을 내쫓는 암울한 미래가 오지 않도록,  인류가 지혜를 모아야 할 땝니다. 

 '박대기의 핫클립'이었습니다.

 영상편집:김철

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=8264777

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

Copyright ⓒ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지

#인공지능 #챗gpt #AI #유료결제",https://www.youtube.com/watch?v=vfgNii1Fras,2025-05-27,KBS News,UCcQTRi69dsVYHN3exePtZ1A,365567,2317,736,PT2M54S,https://i.ytimg.com/vi/vfgNii1Fras/hqdefault.jpg,"KBS, format:리포트, genre:과학, kbs news, kbs 뉴스, kbs뉴스, location:뉴스제작3부, person:박대기, series:경제콘서트, source:영상, type:방송, 경제콘서트, 뉴스",25,인공지능
3kRLB8DJ5Ew,"'사피엔스' 저자 유발 하라리, ""인공지능 시대는 끝났다""","'사피엔스', '호모데우스'의 저자 유발 하라리가 AI에 대해 던진 충격적인 메시지. 그는 우리가 AI를 완전히 오해하고 있으며, 더 이상 '인공지능(Artificial Intelligence)'이 아닌 '외계 지능(Alien Intelligence)'으로 불러야 한다고 경고합니다.

AI가 스스로 새로운 아이디어를 창조하고, 인간 고유의 영역이었던 '문화'를 만들어내는 지금, 우리는 인류 역사상 가장 거대한 전환점 앞에 서 있습니다. 인류만이 유일한 지성이었던 시대는 끝났습니다.

이 영상은 단순히 AI를 어떻게 활용할 것인가를 넘어, 우리와 전혀 다른 새로운 지성과의 공존을 어떻게 준비해야 하는지에 대한 근본적인 질문을 던집니다. 유발 하라리의 통찰을 통해 AI 이후의 세계를 먼저 만나보세요.

#유발하라리 #AI #인공지능 #사피엔스 #미래예측 #기술트렌드 #외계지능 #AI인사이트

00:00 유발 하라리의 충격적인 AI 메시지
00:31 우리가 완전히 오해했던 AI (자동화 vs 진짜 AI)
01:03 예측과 통제가 불가능한 이유 (커피머신과 베스트프레소)
01:30 이제 AI는 '인공지능'이 아닙니다: 외계 지능 (Alien Intelligence)
02:19 인류 역사상 최초의 순간: 비인간이 만든 문화의 등장
02:52 인류에게 남겨진 두 가지 선택지
03:25 이 채널의 존재 이유 (미국 현지 AI 인사이트)
03:38 당신에게 던지는 질문: 이제 무엇을 준비해야 하는가?",https://www.youtube.com/watch?v=3kRLB8DJ5Ew,2025-09-10,AI 코리아 커뮤니티,UCw7FrceFhwPLzIPeu-AFM8A,153349,3634,424,PT3M58S,https://i.ytimg.com/vi/3kRLB8DJ5Ew/hqdefault.jpg,"유발하라리, 사피엔스, 호모데우스, AI인사이트, AI해외인사이트, 오픈AI, 챗GPT, AI지식, AI인사이트정리, 보표, AI코리아커뮤니티",22,인공지능
mOGzaJRFv2E,"""한국도 예외 아니다."" AI가 절대 대체하지 못할 사람ㅣ지식인초대석 EP.71 (김대식 교수 2부)","오늘은 카이스트 뇌과학자 김대식 교수님을 모시고

AI에 대체되지 않고 살아남을 사람의 특징에 대해 들어봤습니다.

영상이 유익 했다면 구독!! 영상이 재밌으셨다면 좋아요 버튼을 눌러주세요!

#김대식 #지식인사이드 #AI #AGI #인재 #교육

📘카이스트 김대식 교수의 저서 [AGI, 천사인가 악마인가]
교보문고 https://buly.kr/9XLxztF
알라딘 https://buly.kr/E79RMv4
예스24 https://buly.kr/GvnnCBc

00:00 인트로
00:22 구독자 인사
00:24 미국 대기업에서 급속도로 퇴출당하고 있는 직무
05:18 ‘한국도 예외 아니다’ AI 시대에 먼저 해고될 사람
10:04 미래 시대에 코딩보다 필요한 교육
15:23 AI 시대에 살아남기 위해 지금 당장 해야할 것
20:46 AGI 시대는 디스토피아일까, 유토피아일까?
22:40 AGI 시대 인간은 모두 ‘어린 아이’가 됩니다

ㅡ

👇지식인사이드에 출연을 원하신다면 여기를 눌러주세요
https://forms.gle/u4LxVcwFdhvkLH8m6
knowledgeinside7@gmail.com

👇 다양한 채널에서 지식인사이드의 지식을 얻고 싶다면 여기를 눌러주세요
인스타그램: https://www.instagram.com/knowledgeins_kr/
페이스북: https://www.facebook.com/knowledgeIns7?mibextid=LQQJ4d
네이버 TV: https://tv.naver.com/purejboy2
틱톡: https://www.tiktok.com/@allstorieskr?lang=ko-KR
네이버 카페: https://cafe.naver.com/knowledgeins",https://www.youtube.com/watch?v=mOGzaJRFv2E,2025-10-12,지식인사이드,UCA_hgsFzmynpv1zkvA5A7jA,2184574,49085,2601,PT25M38S,https://i.ytimg.com/vi/mOGzaJRFv2E/hqdefault.jpg,,26,인공지능
UIBLOK6XCCA,"""10년도 안 남았다."" 앞으로 세상을 지배할 충격적인 기술ㅣ지식인초대석 EP.70 (김대식 교수 1부)","오늘은 카이스트 뇌과학자 김대식 교수님을 모시고

앞으로 10년 안에 도래할 AI 기술 혁명에 대해 들어봤습니다.

영상이 유익 했다면 구독!! 영상이 재밌으셨다면 좋아요 버튼을 눌러주세요!

#김대식 #지식인사이드 #AI #AGI #기술혁명

📘카이스트 김대식 교수의 저서 [AGI, 천사인가 악마인가]
교보문고 https://buly.kr/9XLxztF
알라딘 https://buly.kr/E79RMv4
예스24 https://buly.kr/GvnnCBc

00:00 인트로
00:21 구독자 인사
01:20 뇌를 연구하는 학문과 AI 연구와의 공통점
08:22 혁명의 대명사 애플이 AI 경쟁에 뒤처진 이유
15:09 10년 안에 나올 스마트폰 이상의 혁명
21:11 지금이라도 한국형 AI가 필요한 이유
26:42 ‘10년도 안 남았다’ AI가 가져올 완전히 다른 세상
31:19 자본주의, 민주주의를 모두 뒤흔들 AGI

ㅡ

👇지식인사이드에 출연을 원하신다면 여기를 눌러주세요
https://forms.gle/u4LxVcwFdhvkLH8m6
knowledgeinside7@gmail.com

👇 다양한 채널에서 지식인사이드의 지식을 얻고 싶다면 여기를 눌러주세요
인스타그램: https://www.instagram.com/knowledgeins_kr/
페이스북: https://www.facebook.com/knowledgeIns7?mibextid=LQQJ4d
네이버 TV: https://tv.naver.com/purejboy2
틱톡: https://www.tiktok.com/@allstorieskr?lang=ko-KR
네이버 카페: https://cafe.naver.com/knowledgeins",https://www.youtube.com/watch?v=UIBLOK6XCCA,2025-10-11,지식인사이드,UCA_hgsFzmynpv1zkvA5A7jA,2723244,48868,3449,PT36M46S,https://i.ytimg.com/vi/UIBLOK6XCCA/hqdefault.jpg,,26,인공지능
4Mi_IoxOai8,AI 자격증 따는 ‘똑똑한 장년’…“AI 알아야 세상도 재밌어” [9시 뉴스] / KBS  2025.04.01.,"인공지능이 우리 일상에 속속 자리잡으면서, AI 관련 자격증 응시생도 크게 늘고 있습니다. 그런데 응시생 다섯 명 중 한 명은 50대 이상인 것으로 나타났는데요. 이들이 AI 공부에 나선 이유를 강나루 기자가 취재했습니다.

 [리포트]

 수학 교사로 일하다  정년퇴직한 박순옥 씨, 네 번의 도전 끝에 지난달 AI 자격증을 손에 쥐었습니다.

 올해 예순여섯 살,  최고령 응시생입니다.

[박순옥/AI 자격시험 응시생 : ""이것(AI)을 알아야 내가 앞으로 살아가는 세상이 재미있을 것 같고, 또 주변에 어린애들도 내가 그걸 알아야 같이 서로 대화도 할 수 있을 것 같고….""]

 로봇 청소기부터 식당 무인 안내기까지, 주위에서 사람 대신 일하는 수많은 컴퓨터들을 보며, AI도 곧 마주해야 할 현실이 될 것이라고 생각했습니다.

[박순옥/AI 자격시험 응시생 : ""겁나고 두렵기보다는 걔들하고 같이 즐길 수 있으면 좋지 않을까, 그렇게 살아가는 세상이 어쩔 수 없다는 생각이 들었어요.""]

AI 자격시험이 생긴 2021년부터 응시생은 해마다 2배 넘게 늘고 있습니다.

 50대 이상도 다섯 명 중 한 명꼴입니다.

 IT 업계에서 일하는 63살 이재경 씨도 이 중 한 명입니다.

 회사 안팎에서 AI를 다루는 능력이  꼭 필요해졌습니다.

[이재경/AI 자격시험 응시생 : ""여행 계획을 짠다든지 또는 내 건강 관리를 하기 위한 어떤 운동의 내용이라든지 이런 것도 내가 검색을 하면 한두 시간 검색을 해야 되는 내용을, 5분 안에 다 할 수도 있고….""]

[이종형/KT AICE기획팀 상무 : ""요즘에는 100세 시대 또 평생교육의 시대다 보니까 50대 이상 분들도 이런 신기술이나 이런 새로운 분야에 좀 더 관심을 가지고 좀 더 자발적으로….""]

 하지만 여전히 접근성이 떨어지는 고령층 등 소외계층의 AI 교육 문제는 우리 사회 새로운 과제로 떠올랐습니다.

 KBS 뉴스 강나루입니다.

 촬영기자:김한빈/영상편집:이현모

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=8216194

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

Copyright ⓒ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지

#인공지능 #AI자격증 #장년층",https://www.youtube.com/watch?v=4Mi_IoxOai8,2025-04-01,KBS News,UCcQTRi69dsVYHN3exePtZ1A,14604,120,38,PT2M12S,https://i.ytimg.com/vi/4Mi_IoxOai8/hqdefault.jpg,"KBS, KBS NEWS, KBS 뉴스9, KBS뉴스, NEWS, format:리포트, genre:과학, location:문화과학부, person:강나루, series:뉴스 9, source:영상, type:방송, 뉴스, 뉴스9",25,인공지능
Wb-egpA7AFA,[벙커1특강] 박태웅 AI 강의 1부,"IT 현자! 한빛미디어 박태웅 의장의 '박태웅의 AI 강의' 출간 기념 벙커1 특강 1부

▶ AI 특강 2부 이어보기
https://www.youtube.com/watch?v=Rh3JajmyHmw

딴지방송국 멤버십 회원에게 우선 제공되는 콘텐츠입니다.
이 채널에 가입하여 더 많은 특별한 혜택을 누려보세요.

◆ 멤버십 가입하기
https://www.youtube.com/channel/UCxvU6bRtYhNLvZleAIGa-FQ/join

◆ 박태웅의 AI 강의 도서 정보 및 구매하기
https://m.hanbit.co.kr/biz/books/book_view.html?p_code=B7217842958",https://www.youtube.com/watch?v=Wb-egpA7AFA,2023-10-31,딴지방송국,UCxvU6bRtYhNLvZleAIGa-FQ,585792,15903,207,PT1H6M36S,https://i.ytimg.com/vi/Wb-egpA7AFA/hqdefault.jpg,,25,인공지능
Udkc6rkH_CQ,초등학생도 이해하는 인공지능 총 정리,"#인공지능 #머신러닝 #딥러닝
초등학생도 이해하는 인공지능 총 정리

1. 인공지능 0:00
2. 인공지능이란 무엇인가 0:50
3. 인공지능은 어떻게 생겨났는가 1:49
4. 머신러닝과 딥러닝 4:39

* Reference
(1) 가장 쉬운 AI 입문서 - 오니시 가나코
(2) 만화로 배우는 인공지능 - 미야케 요이치로

* Music
Bright Future – Silent Partner
https://www.youtube.com/watch?v=j-eUXXW95Rg",https://www.youtube.com/watch?v=Udkc6rkH_CQ,2021-03-19,마크의 지식서재,UCzyQX1l7_emz59y2ylvdbsQ,150615,1755,69,PT9M12S,https://i.ytimg.com/vi/Udkc6rkH_CQ/hqdefault.jpg,"지식, 상식, 교육, 과학, 인공지능, AI, 머신러닝, 딥러닝, 인공지능원리, 인공지능이란",27,인공지능
wt0N9ihXkAg,로봇과 AI 다 가진 '이 기업' 지금 싸도 너무 쌉니다 근데 앞으로 세계 1위 될 것입니다 (김대식 교수 / 풀버전),"⭐김대식 교수님의 저서 'AGI, 천사인가 악마인가' 구매링크
https://product.kyobobook.co.kr/detail/S000217325457?utm_source=google&utm_medium=cpc&utm_campaign=googleSearch&gt_network=g&gt_keyword=&gt_target_id=dsa-1974044871758&gt_campaign_id=9979905549&gt_adgroup_id=132556570510&gad_source=1

[김대식 교수]
카이스트 전기 전자공학부 교수
독일 막스플랑크 뇌과학연구소
뇌과학 박사
저서 [AGI, 천사인가 악마인가]
저서 [챗 GPT에게 묻는 인류의 미래]

✔️촬영일: 10월 21일

📌 신사임당은 다양한 전문가의 의견을 전달하고 서로를 존중하는 문화를 만들고자 합니다. 출연자에 대한 인신공격, 근거 없는 비난, 욕설, 비속어를 포함한 댓글은 제한될 수 있습니다. 출연자의 의견은 채널의 방향성과 무관하며, 소속회사의 의견을 대표하지 않습니다. 또한, 투자에 대한 책임은 투자자 본인에게 있습니다.

⭐ 출연신청 & 제휴 및 광고문의:
ssid@dpnstud.io",https://www.youtube.com/watch?v=wt0N9ihXkAg,2025-10-29,신사임당,UCaJdckl6MBdDPDf75Ec_bJA,201330,3215,126,PT1H25M31S,https://i.ytimg.com/vi/wt0N9ihXkAg/hqdefault.jpg,"신사임당, SSID, 부자, 주식투자, 경제, 투자, 미국주식, 부동산, 돈버는법, 암호화폐, 비트코인, 2차전지, 배터리, 전망, 기준금리, 가상화페, 블록체인, 챗gpt, 챗gpt 사용법, 챗gpt 영어회화, gpt 영어회화, gpt 사주, chatgpt 유료, chatgpt 활용법, chatgpt, chatgpt 5, gpt 프롬프트",27,인공지능
