video_id,comment_id,author,text,like_count,published_at,updated_at
L2Aa93iZWpc,UgwU6OnnmtRb6XtVBql4AaABAg,@chriswabs,"This robot is available as a companion or robot partner,,we made a video about it here 
https://youtu.be/wM2Kz2pAWBg?si=YbtFwCphD7auF1Hp",444,2025-01-09T14:11:47Z,2025-01-30T12:13:10Z
L2Aa93iZWpc,Ugy0QjNivc55dqqh88J4AaABAg,@Kaffekoppkaos,Maybe you could use a laser light projected behind skin to improve the look of muscle tones/ movment by shadows some how in a cheap way,0,2025-11-12T08:02:48Z,2025-11-12T08:02:48Z
L2Aa93iZWpc,UgxPY93osrltKPDQUzV4AaABAg,@Wallman_shorts,"Hi everyone, im planning a war against all robots executive all of them for 2034",0,2025-11-11T09:48:22Z,2025-11-11T09:48:22Z
L2Aa93iZWpc,Ugx0N-3BwqMxDCSDx9N4AaABAg,@LailaLaila-i2o,Cool Cool,0,2025-11-09T12:36:09Z,2025-11-09T12:36:09Z
L2Aa93iZWpc,UgyrKiKDgDQaKvOMhMx4AaABAg,@Lassieandfriends,Poor Zero suit Samus,0,2025-11-03T01:55:04Z,2025-11-03T01:55:04Z
L2Aa93iZWpc,UgzdcFxOM0DvqnuxhVJ4AaABAg,@Hackedschema28906,“Isn’t that cool guys 😎”,0,2025-10-31T10:26:47Z,2025-10-31T10:26:47Z
L2Aa93iZWpc,UgwCgywZbDGflllFnGN4AaABAg,@Truthfuldeerrecroom,Reminded me of Detroit become human.,1,2025-10-30T14:50:33Z,2025-10-30T14:50:33Z
L2Aa93iZWpc,Ugw83yWi67PPGfaVOp14AaABAg,@Meowlaxative69,Of course you can’t make it black,0,2025-10-29T14:47:24Z,2025-10-29T14:47:24Z
L2Aa93iZWpc,UgxlmJRk6uQrgywDTX14AaABAg,@brucewaynereal420,"Welp, if there's a hole, there's a goal.",0,2025-10-27T18:25:04Z,2025-10-27T18:25:04Z
L2Aa93iZWpc,UgwIjIfiqJ4JWuEjusF4AaABAg,@abbccddeep,O my god it's really robot 🤖,1,2025-10-27T13:51:42Z,2025-10-27T13:51:42Z
0RMhQit6A7A,UgzUWdMEwfOXu2aKDGZ4AaABAg,@ashutoshparad5528,Worst speling is wrong🤓,0,2025-11-14T13:48:12Z,2025-11-14T13:48:12Z
0RMhQit6A7A,UgzB3mTdoQrI2aW5tKp4AaABAg,@sachinkasar819,"Don’t buy Asus laptop, the life is maximum 2 years and no service",1,2025-09-15T13:05:42Z,2025-09-15T13:05:42Z
0RMhQit6A7A,UgyXmoQcuOR7isqXqw94AaABAg,@SakuraHayashi-u2m,Macbooks are rubbish. Cant even expand memory. It will stay like how it is 😅,1,2025-09-02T03:31:11Z,2025-09-02T03:31:11Z
0RMhQit6A7A,UgxL-sX2ARHd1YaiT8l4AaABAg,@sid__art_6614,no Red dead redemption. no macbook.,4,2025-08-22T05:17:45Z,2025-08-22T05:17:45Z
0RMhQit6A7A,Ugw7d5hAvWUZhxin-Bd4AaABAg,@User122dd,Konsa model hai and what's the price??,1,2025-08-20T14:30:03Z,2025-08-20T14:30:03Z
0RMhQit6A7A,UgzyO8sm5g7JdwBLI8B4AaABAg,@kiyoshi8626,No.,1,2025-08-16T16:45:53Z,2025-08-16T16:45:53Z
0RMhQit6A7A,UgyTjP8EzQNHuYnfalp4AaABAg,@RokiSorder-t2w,বা লালা লালা পে 😂,1,2025-08-16T07:43:47Z,2025-08-16T07:43:47Z
0RMhQit6A7A,Ugw_mOxtGzeOnqET7nJ4AaABAg,@mahbubaibrahemy-px1sv,Why is the keyboard so small,1,2025-08-14T18:25:42Z,2025-08-14T18:25:42Z
0RMhQit6A7A,UgyRGpuCMXwqOQnIgsJ4AaABAg,@LightTobi,What is laptop name 😮,1,2025-08-09T04:29:45Z,2025-08-09T04:29:45Z
0RMhQit6A7A,UgygXL1D9LUWOH5jHFp4AaABAg,@lillstargaming2609,Which macbook is this?,1,2025-08-08T08:18:42Z,2025-08-08T08:18:42Z
koiWoyMAiCs,UgzFbmheMJpuIc-UrlZ4AaABAg,@adobochicken,I want to come back reincarnated as the seat on her motorcycle 😮,0,2025-11-15T15:47:13Z,2025-11-15T15:47:13Z
koiWoyMAiCs,UgxARdyKh1Onyl3XiBd4AaABAg,@jman8355,"Bike, what bike?",0,2025-11-10T23:30:34Z,2025-11-10T23:30:34Z
koiWoyMAiCs,UgzHOvDGeT-GkNfJ4TB4AaABAg,@johnnystein67,No shoot! I wanna wrestle!,0,2025-11-10T21:32:56Z,2025-11-10T21:32:56Z
koiWoyMAiCs,UgytUvCJ6oK-2DnpBbJ4AaABAg,@KyleRenick-ly6ko,She's a brick house!,0,2025-11-09T15:26:35Z,2025-11-09T15:26:35Z
koiWoyMAiCs,UgzeN-I0olawfUVy3CB4AaABAg,@simoschekimidis302,I want to ride this.❤,0,2025-11-09T03:27:18Z,2025-11-09T03:27:18Z
koiWoyMAiCs,Ugw9-duhm840J5flZWd4AaABAg,@JamesLaing-v1n,No we not ready we still waiting for the model to show up.,0,2025-11-07T20:09:56Z,2025-11-07T20:09:56Z
koiWoyMAiCs,UgzUaUkxhAwvPLtEKbl4AaABAg,@KrzyKanuck81,"Holy , I watched a porno that started the same way 💀",0,2025-11-07T17:11:53Z,2025-11-07T17:11:53Z
koiWoyMAiCs,Ugyk-oEOsdf7FuNpMBd4AaABAg,@GQ321,Nice helmet ⛑ 😮,0,2025-11-07T02:58:59Z,2025-11-07T02:58:59Z
koiWoyMAiCs,UgwESLWU6RGZkRW4a7p4AaABAg,@KimZelinski-e6h,still have mine !!,0,2025-11-06T21:36:23Z,2025-11-06T21:36:23Z
koiWoyMAiCs,UgzreRDYTDoO--F59K94AaABAg,@goaheadmakeourdayscooterpe9644,Nice Twin,0,2025-11-02T01:39:57Z,2025-11-02T01:39:57Z
QqSlDrx4cn4,UgyxYxTSqQWDRJmmxhd4AaABAg,@showman1438,"Guy: What’s your favorite color?
MOD: …about to answer 
Me: White! Her favorite color is white😁",0,2025-11-10T03:10:19Z,2025-11-10T03:10:19Z
QqSlDrx4cn4,UgyZF9yE_Y5oWjiuQI94AaABAg,@seyi_ag,clean 🥹,0,2025-11-07T09:01:36Z,2025-11-07T09:01:36Z
QqSlDrx4cn4,UgzK1D-7UMO0qmVR0jZ4AaABAg,@simplyturf,Try turning OFF the lights to show the RGB. Duh,0,2025-11-04T10:00:21Z,2025-11-04T10:00:21Z
QqSlDrx4cn4,Ugy68c1Pg-LFOm8uteN4AaABAg,@Sleepy_GeniuzZZ,Clean look and simple,0,2025-10-28T15:47:10Z,2025-10-28T15:47:10Z
QqSlDrx4cn4,UgxTcof_xmB6012hGsx4AaABAg,@helioapf1,now u can stress in a cozy ambient,0,2025-10-27T16:31:23Z,2025-10-27T16:31:23Z
QqSlDrx4cn4,UgydSCK4ijBSh83qdxt4AaABAg,@nectarpeach2853,"Turn down the ambient light, could barely see the differnce",0,2025-10-21T20:54:29Z,2025-10-21T20:54:29Z
QqSlDrx4cn4,UgxoWZv7IDLlx_3NYkB4AaABAg,@filaretbusoni3135,People work to buy stuff work and a car to get to work,0,2025-10-21T08:38:29Z,2025-10-21T08:38:29Z
QqSlDrx4cn4,UgyFtjiVFisMEr8J4E14AaABAg,@marie4368,Lovely !!!,0,2025-10-19T16:11:34Z,2025-10-19T16:11:34Z
QqSlDrx4cn4,Ugxsq3-58iVxh811iEV4AaABAg,@dr1p_Noob-3902,w song choice,0,2025-10-19T07:51:29Z,2025-10-19T07:51:29Z
QqSlDrx4cn4,UgzrScxDmHd0YrFCV4d4AaABAg,@DaBigestBoss,You shld show the colors if the lighting. Came of great.,0,2025-10-17T11:28:49Z,2025-10-17T11:28:49Z
1MH7cPC0vvE,UgwsXcwLZ2xmxUo5Gm54AaABAg,@aswathy5484,"""Old Is Gold""✨",1,2025-11-16T06:12:30Z,2025-11-16T06:12:30Z
1MH7cPC0vvE,Ugw-fP48otBURvu68Q54AaABAg,@Itsmintyboba,Your so pretty!!!!,0,2025-11-16T04:55:18Z,2025-11-16T04:55:18Z
1MH7cPC0vvE,UgwzBvC6K1eAEEntyop4AaABAg,@lily-r1f1i,Ok now stop being cringe,0,2025-11-16T04:04:22Z,2025-11-16T04:04:22Z
1MH7cPC0vvE,UgwjkPTdExc7Re1eayx4AaABAg,@Meli-w2w,God and Jesus are the perfect oness,0,2025-11-16T00:17:05Z,2025-11-16T00:17:05Z
1MH7cPC0vvE,Ugys03W-VKqcPz_36th4AaABAg,@loujoy4ever,Gurl if u lost more weight u’d be like a stick 😂😂😂,0,2025-11-15T13:34:19Z,2025-11-15T13:34:19Z
1MH7cPC0vvE,UgyZCpceOyudCcLbwFR4AaABAg,@MileyFlack,You're just the definition of perfect,0,2025-11-15T00:58:30Z,2025-11-15T00:58:43Z
1MH7cPC0vvE,Ugz_PNTnUNKkPlTEcxB4AaABAg,@LiamEdwards-t8l,Ur choped but you could be a mid,0,2025-11-14T14:31:38Z,2025-11-14T14:31:38Z
1MH7cPC0vvE,UgxydNBW1VT4hpgo3DV4AaABAg,@SZA-L0v3rrr,Your soo pretty before and now thoo😭😭💝,0,2025-11-14T05:28:26Z,2025-11-14T05:28:26Z
1MH7cPC0vvE,UgzcSbIqbL0u3tRHd5d4AaABAg,@AriaM-k1n7n,Kikakimm your beautiful no matter what dont listen to those haters,1,2025-11-13T01:27:01Z,2025-11-13T01:27:01Z
1MH7cPC0vvE,UgyOwmrL-mixpmCbrTF4AaABAg,@dorisesuah,She is my favourite ❤❤❤❤❤❤❤❤❤,0,2025-11-11T21:08:34Z,2025-11-11T21:08:34Z
VN5iib4ao_0,Ugy_Ef0LDEmXq88snuJ4AaABAg,@DacoreySanfordJr,EWW WHY HER EYES POP OUT AND COME ON MAN😂,59,2025-02-18T17:08:35Z,2025-02-18T17:08:35Z
VN5iib4ao_0,Ugz6_G2PhLnSM7hAvYl4AaABAg,@SDRT4,Those who know what she vomited 💀,0,2025-10-19T09:28:19Z,2025-10-19T09:28:19Z
VN5iib4ao_0,UgzxHPaY6T4UASn5KvF4AaABAg,@ShahilKumar6,❤❤,1,2025-10-12T02:35:56Z,2025-10-12T02:35:56Z
VN5iib4ao_0,UgzPEy9F7yEKQIAsFyp4AaABAg,@Malcolmgaming3500Halloween,EWW DISGUSTING,0,2025-10-02T03:23:20Z,2025-10-02T03:23:20Z
VN5iib4ao_0,UgxQSpHsShkhlwM9zBN4AaABAg,@AlejandroTarazonaValerio,Me gusta.  Tus. Videos ❤❤❤❤❤❤❤❤❤❤😅😅😅😅,1,2025-09-23T01:54:45Z,2025-09-23T01:54:45Z
VN5iib4ao_0,UgxW0DY_R6MoWhz8l4x4AaABAg,@Urlocalswiftie22,Hey! Sometime killer robot dolls have to puke😂,2,2025-07-30T00:46:58Z,2025-07-30T00:46:58Z
