video_id,title,description,url,upload_date,channel_name,channel_id,view_count,like_count,comment_count,duration,thumbnail_url,tags,category_id,search_keyword
L2Aa93iZWpc,How to Swap the Face of a Robot: Realbotix at CES2025 #ces2025 #robotics,,https://www.youtube.com/watch?v=L2Aa93iZWpc,2025-01-08,Chris Wabs,UCNbwt3JaMU9QsUz-adRfYFQ,24299129,413455,2745,PT19S,https://i.ytimg.com/vi/L2Aa93iZWpc/hqdefault.jpg,"realbotix ces 2025, realbotix robots, humanoid robot, ces 2025, realbotix 2024, elon musk robots, ces 2025 robot, realbotix ces, realbotix robot, humanoid robots 2025, tata sumo 2025 new model, robot wife, robots at work, ai robots 2025, aria realbotix, melody robot, aria robot hiperrealista, realbotix aria, realbotix corp, robot ces 2025, real botix, ces 2025 realbotix, aria robot, ces 2025 robots, ces realbotix",28,korea digital media high school
0RMhQit6A7A,The best laptop in 2025 🔥🔥The beast of editing,,https://www.youtube.com/watch?v=0RMhQit6A7A,2025-01-04,Tech Prem,UCuC1wNNd-t9wQyrdFl7VWzQ,1725469,10340,154,PT9S,https://i.ytimg.com/vi/0RMhQit6A7A/hqdefault.jpg,,28,korea digital media high school
koiWoyMAiCs,My favorite bike was my sportster 883#bikelife #harleydavidson #sportster,,https://www.youtube.com/watch?v=koiWoyMAiCs,2025-01-14,Coach Outlaw 🥊,UCdYqBIGj_6AfiQ9XVHpBLKg,4514537,41074,617,PT11S,https://i.ytimg.com/vi/koiWoyMAiCs/hqdefault.jpg,,2,korea digital media high school
QqSlDrx4cn4,Adding some upgrades to make my home office desk setup extra cozy😌 #desksetup #homeoffice #cozyhome,,https://www.youtube.com/watch?v=QqSlDrx4cn4,2025-01-07,Junie Kim,UCltfJPSVDhE4R0od-PUu2kg,924319,23661,107,PT48S,https://i.ytimg.com/vi/QqSlDrx4cn4/hqdefault.jpg,,22,korea digital media high school
1MH7cPC0vvE,#kikakim,,https://www.youtube.com/watch?v=1MH7cPC0vvE,2025-02-01,Kika Kim,UCdcZhYtGKo8n1VRLgxMe_hA,22536394,793699,4486,PT17S,https://i.ytimg.com/vi/1MH7cPC0vvE/hqdefault.jpg,,22,korea digital media high school
VN5iib4ao_0,Squid Game Ai Mentality Disgusting #squidgame #squidgame2,#squidgame #squidgamesong  #squidgamegameplay  #squidgame2  #squidgameplot  #squidgamechallenge  #squidgameseason2  #squidgamenetflix #squidgameedit #squidgameexplained #ruinedbyAi #disgusting,https://www.youtube.com/watch?v=VN5iib4ao_0,2025-01-28,Second Dimension Ai,UCBZqA0EY4efr3jijCtlT7uw,23574950,212881,1010,PT6S,https://i.ytimg.com/vi/VN5iib4ao_0/hqdefault.jpg,"Squid Game, Squid Game Netflix, Squid Game Shorts, Netflix Series, Squid Game Challenge, Squid Game Edit, Squid Game Scenes, Squid Game Funny, Squid Game Parody, Squid Game Trend, Squid Game Story, Squid Game Ending, Squid Game Real Life, Squid Game Season 2, Squid Game Explained, Squid Game Clips, Squid Game Theory, Squid Game Recap, Squid Game Music, Squid Game Dance, Squid Game Review, Squid Game Players, Squid Game but it´s ruined by Ai, Ai, ruined by Ai",24,korea digital media high school
SeoBQZ2ftJA,🤩 Hisense C2 Ultra 4K Projector Unboxing & First Impressions! MASSIVE 300-inch Screen Gaming!,"The Hisense C2 Ultra is a smart mini 4K projector that is guaranteed to take your gaming and movie nights to the next level - and by next level, I mean on up to a MASSIVE 300-inch screen! Paired with a 360 degree swivel stand and auto keystone features, this little projector is a dream. I am beyond ecstatic to put it to the test! Please subscribe and LIKE this video, it really helps support the channel.

@HisenseInternational 

#HisenseC2Ultra #4kprojector #laserprojector #gamingprojector #dolbyvision #techreview #homeentertainment #smartprojector

✅ Subscribe for NEW videos EVERY Thursday and Sunday! Sometimes more!
➸ http://bit.ly/RaymondStrazdasSub

💰 Want to support my channel and the work that I do? Here are a few ways you can!
➸ https://www.raymondstrazdas.com/support

🎁 Checkout my Amazon Storefront for product recommendations, my favorite gear to use & much more!
➸ https://www.amazon.com/shop/raymondstrazdas

🎮 Ask Me Anything on my Discord server! 
➸ https://discord.gg/7h7ntJG8H7

===============================

🤩 Stay connected with me on my socials!

➸ Website - https://www.raymondstrazdas.com
➸ Instagram - https://instagram.com/raystrazdas/
➸ TikTok - https://www.tiktok.com/@raymondstrazdas
➸ YouTube - http://www.youtube.com/raystrazdas
➸ Amazon - https://www.amazon.com/shop/raymondstrazdas
➸ LinkedIn - https://www.linkedin.com/in/raymondstrazdas
➸ Facebook - https://facebook.com/raystrazdas
➸ X (Twitter) - http://twitter.com/raystrazdas

===============================

🎥 Here's all of the gear that I use in my setups! You’ll also find the video production equipment that I am currently using!

My WFH Desk Setup & YouTube Studio Setup

➸ Work From Home Office Desk Setup - https://www.amazon.com/shop/raymondstrazdas/list/26WN1ZZR8ZJ1H
➸ My One Stand YouTube Studio Setup - https://www.amazon.com/shop/raymondstrazdas/list/2XJ9V0F8P4RPG
➸ The Camera Gear I Use - https://www.amazon.com/shop/raymondstrazdas/list/TKZGKJ3YF8V6

Cameras & Lenses

➸ Sony a7IV Mirrorless Camera - https://amzn.to/3BReSsR
➸ Sony a7c Mirrorless Camera - https://amzn.to/3O6KDV6
➸ Insta360 X4 360 Action Cam - https://amzn.to/3YF4krQ
➸ DJI Osmo Pocket 3 - https://amzn.to/46ll5tO
➸ Sony FE 20mm f/1.8 G Ultra Wide Angle Lens - https://amzn.to/37jbbxC
➸ Sony FE PZ 16-35mm f/4 Wide Angle Lens - https://amzn.to/43j5hqw
➸ Sony FE 24-70mm f/2.8 GM II - https://amzn.to/3tBMcmH
➸ Sigma 105mm f/2.8 Macro Art Lens - https://amzn.to/3N2bIJr

Audio/Microphones

➸ Sennheiser MKE 600 Shotgun Mic - https://amzn.to/3LiTd0R
➸ Zoom F3 Audio Recorder - https://amzn.to/46rE1rU
➸ Logitech Blue Sona Dynamic Mic - https://amzn.to/3fXq53r
➸ Elgato Wave XLR - https://amzn.to/3PWxP3Y
➸ Sony ECM-B10 Shotgun Mic - https://amzn.to/43r52cP
➸ DJI Mic 2 - https://amzn.to/4aRyJYp

My Backpacks, Camera Cases & EDC Gear

➸ Nomatic Luma Camera Backpack - https://amzn.to/4aTSLld
➸ Peak Design Everyday Backpack - https://amzn.to/38VxHfX
➸ Nanuk 925 Hard Shell Case - https://amzn.to/3l7e9Lw
➸ tomtoc 3.5L Sling Bag - https://amzn.to/4hKszxl
➸ tomtoc 7L 11-inch EDC Sling Bag - https://amzn.to/3TNsLRi

Assorted Gear

➸ Ulanzi Teleprompter Kit - https://amzn.to/3UPqYNb
➸ Elgato 4K60 S+ Capture Card - https://amzn.to/3A05QqP
➸ Elgato Key Light Mini - https://amzn.to/3PdcORE
➸ Insta360 Flow Gimbal - https://amzn.to/428EvQt
➸ Moment MagSafe Pro Mount - https://amzn.to/3ZUh8L1
➸ Peak Design Travel Tripod - https://amzn.to/3l8lcU5
➸ PGYTECH Quick Release Plate & Adapter - https://amzn.to/3rX3Y3n
 
(PLEASE NOTE! Some links in this description are AFFILIATE LINKS and a small commission is received if purchases are made through them. There is no extra cost to you for purchasing your favorite items and doing this greatly helps me in creating content, upgrading equipment, getting products to review and so on. Thank you for your continued support!)

===============================
 
🧐 New to my channel? Here’s some info about me
 
Raymond Strazdas is an award-winning filmmaker, producer and digital media personality currently residing in New Jersey. With a great passion for entertainment, Raymond's desire to succeed is nothing short of fascinating. Through producing consistent, broadcast level content and working with countless top brands, Raymond has clearly established a name for himself and knows what it takes to keep an audience wanting more. Raymond holds a Bachelor's degree in Communications/Digital Media Production and has accomplishments as a Nintendo of America Brand Ambassador and YouTube NextUp Class of 2017 Alumni.
  
⭐ Learn more about the work that I do on my website
https://www.raymondstrazdas.com

🎬 Have a video idea or want to work together? Hit me up!
http://www.raymondstrazdas.com/contact
 
🤩🤩 Hisense C2 Ultra 4K Projector Unboxing & First Impressions! MASSIVE 300-inch Screen Gaming!
https://youtube.com/shorts/SeoBQZ2ftJA
 
Raymond Strazdas
http://www.youtube.com/raystrazdas",https://www.youtube.com/watch?v=SeoBQZ2ftJA,2025-01-13,Raymond Strazdas,UCobRabFG7D1cllNePCY1CmA,130933,2533,46,PT53S,https://i.ytimg.com/vi/SeoBQZ2ftJA/hqdefault.jpg,"4k projector, hisense c2 ultra, hisense c2 ultra review, hisense c2 ultra unboxing, best projector 2024, hisense c2 ultra test, hisense projector, home cinema, home theater, hisense c2 ultra projector, hisense c2 ultra 4k, hisense c2 ultra trichroma, 4k laser projector, laser projector, 4k projector review, projector review, 4k projector home theater, best projector, 4k projector gaming, 4k projector 2025, 2025 mini projector, youtube shorts, shorts, vertical video",20,korea digital media high school
_abQrsHkKpU,MY CAMERA COLLECTION!! CHEAP vs EXPENSIVE 📸,,https://www.youtube.com/watch?v=_abQrsHkKpU,2025-01-20,jasmine le,UCKJrvj5wrlQMlri_QT8zdSQ,622226,44072,78,PT1M27S,https://i.ytimg.com/vi/_abQrsHkKpU/hqdefault.jpg,,26,korea digital media high school
UaXHcdIMci8,Does the S25 Ultra have the Best Camera?,"Which phone has the best camera? S24 Ultra, S25 Ultra or iPhone 16 Pro Max!",https://www.youtube.com/watch?v=UaXHcdIMci8,2025-01-23,Katarina Mogus,UCoOlRv3bSIbUyVgEkjfeJRA,749936,5746,164,PT14S,https://i.ytimg.com/vi/UaXHcdIMci8/hqdefault.jpg,,28,korea digital media high school
kTA3N9_y_PY,Best Small Business Ideas for Teens in 2025 #smallbusines #diy #handmade #homebusiness,Here are amazing small business ideas for teen girls,https://www.youtube.com/watch?v=kTA3N9_y_PY,2025-01-06,Cute Things Channel,UCHEoflbsNL0ebu-Pu9xiYxg,904493,11144,72,PT11S,https://i.ytimg.com/vi/kTA3N9_y_PY/hqdefault.jpg,"small business ideas for teens, business ideas, business ideas For Teenagers",26,korea digital media high school
