video_id,title,description,url,upload_date,channel_name,channel_id,view_count,like_count,comment_count,duration,thumbnail_url,tags,category_id,search_keyword
sz1JBfENa6M,[디미고] 2026 수능 응원영상,"수능은 끝이 아니라 또 다른 시작이에요.
한숨 돌리고 나면, 이제 진짜 ‘나’로서 첫발을 내딛는 순간이 올 거예요.
그 첫걸음이 서툴더라도, 그건 분명 더 넓은 곳으로 나아가는 새로운 시작이 될 거예요.

지나간 시간보다 다가올 날들이 더 행복했으면 좋겠습니다.

12년간의 노력은 절대 헛되지 않을 거예요.
열심히 해온 만큼, 좋은 결과 얻으시길 응원합니다.

#디미고 #한국디지털미디어고등학교 #수능 #수능응원 #여우사이

01:02 ~ 02:26 | https://www.youtube.com/watch?v=i_THjx9J7Po
02:26 ~ 06:38 | https://www.youtube.com/watch?v=hr3wJgGnSS4",https://www.youtube.com/watch?v=sz1JBfENa6M,2025-11-06,여우사이,UCpi-sulGSl7YcjLpHaYr65Q,854,31,1,PT6M53S,https://i.ytimg.com/vi/sz1JBfENa6M/hqdefault.jpg,"디미고, dimigo, 여우사이, 방송부, 한국디지털미디어고, 한국디미고, 디지털, 디미고보, 보이스, 보이스디미고, vod, voice, voice of dimigo, voiceofdimigo",27,디미고
Ps632Dy_DkA,[한글날 특집 길거리 퀴즈] ep.1,#한국디지털미디어고등학교 #디미고 #여우사이 #한글날,https://www.youtube.com/watch?v=Ps632Dy_DkA,2025-10-28,여우사이,UCpi-sulGSl7YcjLpHaYr65Q,1749,5,0,PT52S,https://i.ytimg.com/vi/Ps632Dy_DkA/hqdefault.jpg,"디미고, dimigo, 여우사이, 방송부, 한국디지털미디어고, 한국디미고, 디지털, 디미고보, 보이스, 보이스디미고, vod, voice, voice of dimigo, voiceofdimigo",27,디미고
PIjSmLs5MnU,[한글날 특집 길거리 퀴즈] ep.2,#한국디지털미디어고등학교 #디미고 #여우사이 #한글날,https://www.youtube.com/watch?v=PIjSmLs5MnU,2025-10-28,여우사이,UCpi-sulGSl7YcjLpHaYr65Q,1398,6,0,PT50S,https://i.ytimg.com/vi/PIjSmLs5MnU/hqdefault.jpg,"디미고, dimigo, 여우사이, 방송부, 한국디지털미디어고, 한국디미고, 디지털, 디미고보, 보이스, 보이스디미고, vod, voice, voice of dimigo, voiceofdimigo",27,디미고
X4sVJ64P4ZE,[길거리 추석 상식 퀴즈] ep.2,#디미고 #한국디지털미디어고등학교 #여우사이 #추석 #상식 #퀴즈,https://www.youtube.com/watch?v=X4sVJ64P4ZE,2025-10-23,여우사이,UCpi-sulGSl7YcjLpHaYr65Q,1627,8,0,PT37S,https://i.ytimg.com/vi/X4sVJ64P4ZE/hqdefault.jpg,"디미고, dimigo, 여우사이, 방송부, 한국디지털미디어고, 한국디미고, 디지털, 디미고보, 보이스, 보이스디미고, vod, voice, voice of dimigo, voiceofdimigo",27,디미고
vDQaSToqETU,[길거리 추석 상식 퀴즈] ep.1,#디미고 #한국디지털미디어고등학교 #여우사이 #추석 #상식 #퀴즈,https://www.youtube.com/watch?v=vDQaSToqETU,2025-10-23,여우사이,UCpi-sulGSl7YcjLpHaYr65Q,4430,13,1,PT42S,https://i.ytimg.com/vi/vDQaSToqETU/hqdefault.jpg,"디미고, dimigo, 여우사이, 방송부, 한국디지털미디어고, 한국디미고, 디지털, 디미고보, 보이스, 보이스디미고, vod, voice, voice of dimigo, voiceofdimigo",27,디미고
wo-Ey0aeqqU,"""인생에는 적절한 시기라는 게 있어요"" 특성화고 진학을 두고 고민에 빠진 중3 여학생의 사연 | All About 입시 103화","00:00 오프닝
07:36 상담 시작

📪 채널 협업 문의: ad@overlaps.studio
❓ 채널 기타 문의: https://open.kakao.com/o/sB4cqoGc
📺 방송 풀버전 채널: https://www.youtube.com/@mi5nu
✅인스타그램 :@mimi__minu
💬네이버 팬카페: https://cafe.naver.com/mimiminu",https://www.youtube.com/watch?v=wo-Ey0aeqqU,2025-10-29,미미미누,UCyNHdF4hMxHUFSsPbY24p6A,552474,2057,311,PT23M44S,https://i.ytimg.com/vi/wo-Ey0aeqqU/hqdefault.jpg,"미미미누, 미미미누 강의, 미미미누 발표, 미미미누 성대모사, 미미미누 리뷰, 미미미누 썰, 미미미누 모의고사, 현역, 재수, 삼수, 줌독서실, 헬스터디, N수의신, 길거리수학챌린지, 길수챌, N수, 올어바웃입시, 윤도영, 모의고사 리뷰, 수능",27,디미고
8fpg_CYUQCY,두드러진 '이과생 사탐런' 변수…2026학년도 수능 D-7 / SBS 8뉴스,"〈앵커〉

대학수학능력시험이 이제 딱 일주일 앞으로 다가왔습니다. 이번 수능에서는 이과생이 과학탐구 대신 사회탐구를 선택하는 현상이 두드러지고 있는데요. 올해 수능의 가장 큰 변수로 꼽힙니다.

정성진 기자가 취재했습니다.

〈기자〉

지난 수능에서는 과학탐구 2과목을 택했던 이과생 이 모 군, 올해 수능에서는 1과목을 사회탐구로 바꿨습니다.

상대적으로 유리하다는 판단 때문입니다.

[이 모 군 : 사회문화 하나랑 지구과학 하나 하고 있습니다. 사회 쪽이 학습량이 좀 더 적고, 등급이 좀 더 안정적으로 잘 나온다는 경향이 있어서….]

2022학년도 수능부터는 탐구 영역의 사회와 과학 과목들 중 자유롭게 2개를 택할 수 있습니다.

여기에 지난해부터 서울대를 제외하고, 상위 대학 의대와 이공계 학과가 '과학탐구 필수 응시' 조건을 완화하거나 아예 폐지했습니다.

그러자 이과생들도 물리, 화학, 생명공학, 지구과학을 선택하지 않고, 대신 사회문화, 생활과 윤리 같은 사회탐구 과목을 보는 이른바 '사탐런'이 심해지고 있습니다.

올해 사회탐구만 2과목을 선택한 수험생은 전체의 61%로 지난해보다 10%포인트 가까이 늘었고, 과학탐구 2과목을 고른 수험생은 10명 중 2명꼴로 뚝 떨어졌습니다.

문·이과 융합형 인재를 육성하겠다는 취지는 사라지고, 모집단이 큰 과목을 골라 수능 등급을 잘 받으려는 입시 전략만 남은 상황입니다.

[임성호/종로학원 대표 : 공정하게 어떤 수능의 평가 결과가 나와줘야 되는데, 본인의 노력과 무관하게 응시생 집단 수에 의해서 점수가 변화되는….]

이공계 인력 양성의 기본이 되는 학생들의 과학 기초학력 저하가 심각해진다는 우려도 나옵니다.

[수도권 공대 교수 : 기초를 제대로 닦고 오지 못하면 아무래도 다른 학생 대비 조금 뒤처질 수밖에 없고, 강의의 수준이나 내용을 조정할 수밖에 없어요.]

현행 수능 체제로 치러지는 마지막 해인 내년엔 10명 중 8명이 사탐 과목에 응시할 것으로 분석되는 등 '사탐런'은 더 심해질 전망입니다.

(영상취재 : 최준식, 영상편집 : 김종미, 디자인 : 홍지월)


☞더 자세한 정보
https://news.sbs.co.kr/y/?id=N1008322058
 

#수능 #수험생 #8뉴스 #사탐런 #입시 #사탐 

▶SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube 

♨지금 뜨거운 이슈, 함께 토론하기(스프 구독) : https://premium.sbs.co.kr

▶SBS 뉴스 라이브 : https://n.sbs.co.kr/youtubeLive , https://n.sbs.co.kr/live 

▶SBS 뉴스 제보하기
홈페이지: https://n.sbs.co.kr/inform 
애플리케이션: 'SBS뉴스' 앱 설치하고 제보 - https://n.sbs.co.kr/App 
카카오톡: 'SBS뉴스'와 친구 맺고 채팅 - https://pf.kakao.com/_ewsdq/chat 
페이스북: 'SBS뉴스' 메시지 전송 - https://www.facebook.com/sbs8news 
이메일: sbs8news@sbs.co.kr 
문자 # 누르고 6000 
전화: 02-2113-6000 

홈페이지: https://news.sbs.co.kr/ 
페이스북: https://www.facebook.com/sbs8news 
X: https://x.com/sbs8news
카카오톡: https://pf.kakao.com/_ewsdq
인스타그램: https://www.instagram.com/sbsnews
Thread: https://www.threads.com/@sbsnews

Copyright Ⓒ SBS. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지",https://www.youtube.com/watch?v=8fpg_CYUQCY,2025-11-06,SBS 뉴스,UCkinYTS9IHqOEwR1Sze2JTw,88426,453,727,PT2M16S,https://i.ytimg.com/vi/8fpg_CYUQCY/hqdefault.jpg,"SBS NEWS, SBS 뉴스, custom:뉴스넷, format:리포트, genre:사회, language:한국어, location:서울, person:정성진, sbs, sbs 실시간, series:8뉴스, source:영상, type:방송, 과학탐구, 뉴스 실시간, 뉸, 두드러진, 분석, 수능, 수험생, 실시간뉴스, 에스비에스, 점수, 조정",25,디미고
oWTGae28o2w,"""명예훼손과 모욕 혐의""...고소 당한 '187만 유튜버' 미미미누 [지금이뉴스] / YTN","구독자 187만을 가진 유튜버 미미미누, 김민우 씨가 명예훼손 혐의로 고소를 당해 경찰 조사를 받게 됐습니다.

서울 서초경찰서는 최근 20대 남성 A 씨가 김 씨를 명예훼손과 모욕 혐의로 처벌해달라는 고소장을 냈다며 수사에 착수했다고 밝혔습니다.

앞서 A 씨는 지난해 2월 김 씨의 유튜브 채널에 출연했다가, 고등학교 때 친구의 노트북을 훔쳤다는 의혹이 불거지자 방송에서 하차했습니다.

이후 A 씨는 김 씨가 의혹이 사실이라는 취지의 방송을 진행하면서 여러 악성 댓글을 읽었고, 이로 인해 조울증을 진단받았다며 김 씨를 고소한 것으로 알려졌습니다.

A씨는 고소장에서 이로 인해 양극성 정동장애(조울증) 진단을 받아 극단적 시도까지 했다고 주장한 것으로 전해졌습니다.

구독자 187만 명을 보유한 김 씨는 수능을 다섯 번 응시한 끝에 명문대에 진학한 경험을 바탕으로 입시 관련 유튜브 채널을 운영하고 있습니다.


기자ㅣ정영수
오디오ㅣAI 앵커
제작 | 이 선
출처ㅣ유튜브 '미미미누'

#지금이뉴스

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0134_202510220815054955
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",https://www.youtube.com/watch?v=oWTGae28o2w,2025-10-22, YTN,UChlgI3UHCOnwUGzWzbJ3H5w,586684,2156,1013,PT1M8S,https://i.ytimg.com/vi/oWTGae28o2w/hqdefault.jpg,"source:영상, type:디지털, genre:사회, format:기타, 미미미누고소, 김민우, 유튜버고소, 순수, 미미미누명예회손, 헬스터디",25,디미고
c_TmVMZEVQY,코딩하는아이들 앱인벤터반 (초등부) 방O훈 학생 앱인벤터 프로젝트 작품,"코딩으로 대학가자~!! 
코딩하는아이들 컴퓨터학원에 대해서 궁금하시다면
더 보기란을 열어주세요~^^

코딩하는아이들 컴퓨터학원 공식 블로그
blog.naver.com/yoojh2005

상담번호 : (대표전화) 02-383-5505, 010-3009-6609
주소 : 서울특별시 은평구 은평로 200번지 2층, 3층(전체)

기초 알고리즘 이해부터 프로젝트 발표까지 
체계적인 커리큘럼을 통해
 21세기 IT 인재 코딩 수업을 진행하고 있습니다.

초, 중, 고 입시 및 각종 소프트웨어 대회, 정보영재원 입학
코딩하는 아이들에서 방문 또는 전화 상담 가능합니다.

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

[초, 중, 고등부 주요 커리큘럼] 

스크래치, 아두이노, 앱인벤터, C언어
   파이썬, C++, C#, 유니티, 자바

전문크리에이터반, 프리미어프로, 포토샵
  일러스트, 디지털 드로잉

스크래치, C언어, 파이썬 자격증(국가인증 자격증)

카이스트 영재원 , 교대 영재원
  한양대학교 정보영재원, 선린고 영재원 입학 준비

선린고, 디미고, 로봇과학고, 게임과학고, 단대부고
  세명컴퓨터고 등 소프트웨어 고등학교 입시준비

SW / 코딩 대회 참여, i-top 경진대회, 정보올림피아드
  삼성소프트웨어창작대회, 넥슨 청소년 코딩 대회 
  SW를 통한 착한 상상, 알고리즘 히어로즈
  국민대 ,경희대 경진대회, SW사고력 올림피아드

대학 입시대비 코딩 포토폴리오 제작

취미반, 입시반, 전공반, 개발반",https://www.youtube.com/watch?v=c_TmVMZEVQY,2025-10-22,코딩하는아이들 (은평본원),UCMIJYw1CDrTyc9-JAzkcEKQ,12,0,0,PT1M28S,https://i.ytimg.com/vi/c_TmVMZEVQY/hqdefault.jpg,"코딩, 알고리즘, C언어, 파이썬, 스크래치, 코딩공부, 코딩하는아이들, 코딩아이, 코딩독학, 코딩강의, 알고리즘설명, 코딩학원, 코딩으로대학가자, 은평코딩학원, 은평구코딩",27,디미고
NOj9cOEt2e4,코딩하는아이들 파이썬반 (중등부)신O빈학생프로젝트작품,"코딩으로 대학가자~!! 
코딩하는아이들 컴퓨터학원에 대해서 궁금하시다면
더 보기란을 열어주세요~^^

코딩하는아이들 컴퓨터학원 공식 블로그
blog.naver.com/yoojh2005

코등하는아이들 컴퓨터학원 공식 인스타그램
www.instagram.com/codingi2024

상담번호 : (대표전화) 02-383-5505, 010-3009-6609
주소 : 서울특별시 은평구 은평로 200번지 2층, 3층(전체)

기초 알고리즘 이해부터 프로젝트 발표까지 
체계적인 커리큘럼을 통해
 21세기 IT 인재 코딩 수업을 진행하고 있습니다.

초, 중, 고 입시 및 각종 소프트웨어 대회, 정보영재원 입학
코딩하는 아이들에서 방문 또는 전화 상담 가능합니다.

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

[초, 중, 고등부 주요 커리큘럼] 

스크래치, 아두이노, 앱인벤터, C언어
   파이썬, C++, C#, 유니티, 자바

전문크리에이터반, 프리미어프로, 포토샵
  일러스트, 디지털 드로잉

스크래치, C언어, 파이썬 자격증(국가인증 자격증)

카이스트 영재원 , 교대 영재원
  한양대학교 정보영재원, 선린고 영재원 입학 준비

선린고, 디미고, 로봇과학고, 게임과학고, 단대부고
  세명컴퓨터고 등 소프트웨어 고등학교 입시준비

SW / 코딩 대회 참여, i-top 경진대회, 정보올림피아드
  삼성소프트웨어창작대회, 넥슨 청소년 코딩 대회 
  SW를 통한 착한 상상, 알고리즘 히어로즈
  국민대 ,경희대 경진대회, SW사고력 올림피아드

대학 입시대비 코딩 포토폴리오 제작

취미반, 입시반, 전공반, 개발반",https://www.youtube.com/watch?v=NOj9cOEt2e4,2025-11-01,코딩하는아이들 (은평본원),UCMIJYw1CDrTyc9-JAzkcEKQ,565,4,0,PT30S,https://i.ytimg.com/vi/NOj9cOEt2e4/hqdefault.jpg,"코딩, 알고리즘, C언어, 파이썬, 스크래치, 코딩공부, 코딩하는아이들, 코딩아이, 코딩독학, 코딩강의, 알고리즘설명, 코딩학원, 코딩으로대학가자, 은평코딩학원, 은평구코딩",27,디미고
