video_id,title,description,url,upload_date,channel_name,channel_id,view_count,like_count,comment_count,duration,thumbnail_url,tags,category_id,search_keyword
sCAzLunon8c,대반전이라는 아이돌 실제로 먹는 식사량,"251011 하영 지원 fromm 라이브
#송하영 #하영 #hayoung #프로미스나인 #프나 #프미나 #fromis_9 #지원 #나경 #채영 #지헌",https://www.youtube.com/watch?v=sCAzLunon8c,2025-10-13,하냥,UC48CkjltIEpJ_Ky1JoHWwTw,6883040,90216,417,PT18S,https://i.ytimg.com/vi/sCAzLunon8c/hqdefault.jpg,"#프로미스나인, #fromis_9, 송하영, 하영, 박지원, 지원, 이나경, 나경, 이채영, 채영, 백지헌, 지헌, 아이돌, idol, hayoung, 프나, 프미나, 프로미스나인, fromis_9, 가수, 연예인, 노래, 댄스, k-pop",24,먹방
LUkQ_cMvUVs,윤남노 셰프만 알고 있다는 '9800원' 편의점 꿀조합,,https://www.youtube.com/watch?v=LUkQ_cMvUVs,2025-10-18,쇼츠클립,UCWYFmqYrYyLdyuExjDuBn3Q,8645404,94066,842,PT43S,https://i.ytimg.com/vi/LUkQ_cMvUVs/hqdefault.jpg,,23,먹방
6ZwRq8Uy0fo,제일 쉽고 맛있는 AI 용암 먹방 만들어 먹기,,https://www.youtube.com/watch?v=6ZwRq8Uy0fo,2025-07-13,돼끼 baby_pig_rabbit,UCW-QBEmxsme2FAONSnTjp-g,4025279,54155,135,PT42S,https://i.ytimg.com/vi/6ZwRq8Uy0fo/hqdefault.jpg,,24,먹방
3opAGM7N47U,마라탕 세입만 먹는 다이어트 먹방,"#마라탕 #먹방 #먹방asmr #세입먹방
#mukbang #koreanfood 
#Malatang #마라샹궈 #야식",https://www.youtube.com/watch?v=3opAGM7N47U,2025-10-17,오눌오눌,UCijSk9vvIsgi8HQrtVEaHjA,496182,11842,483,PT1M45S,https://i.ytimg.com/vi/3opAGM7N47U/hqdefault.jpg,"마라탕, 다이어트, 먹방, 먹방 asmr, 마라샹궈, Malatang, mukbang, koreanfood, 세입먹방, 여자 먹방, 야식, 마라탕 먹방",24,먹방
uaOt-mSVYEI,육즙팡팡 킬바사 소세지 & 신라면 먹방⭐ 1등 조합은?,#shotrs,https://www.youtube.com/watch?v=uaOt-mSVYEI,2025-08-19,자곰 JAGOM ASMR,UCXnv4nN5sz1CLAZeteyH90g,3990335,84538,281,PT51S,https://i.ytimg.com/vi/uaOt-mSVYEI/hqdefault.jpg,"킬바사 먹방, 소세지 먹방, 소세지 먹방 asmr, 킬바사 소세지 먹방, 소세지 맛있게 먹는법, 소시지 먹방, 소시지 먹방 asmr, 킬바사 맛있게 먹는법, 신라면 먹방, 신라면 먹방 asmr",22,먹방
fu0g8pnR_Uc,핫도그 200개 먹방👍,,https://www.youtube.com/watch?v=fu0g8pnR_Uc,2025-09-10,드러무,UC0hcpyrtLVKUu80SltIHCjQ,1668813,13812,360,PT22S,https://i.ytimg.com/vi/fu0g8pnR_Uc/hqdefault.jpg,,20,먹방
eVwrVKf3Jyk,삼겹살 무한 리필 빌런 #shorts,"#스케치코미디 #shorts #먹방 

삼겹살 무한 리필 빌런",https://www.youtube.com/watch?v=eVwrVKf3Jyk,2025-09-27,숏플레이,UC-3Fh1L6hOSV9ylvpr5g8_Q,14355912,119838,1021,PT1M1S,https://i.ytimg.com/vi/eVwrVKf3Jyk/hqdefault.jpg,"숏박스, 하이픽션, 싱글벙글, 스케치코미디, 180초, 개그맨, 숏무비, 짧은대본, 픽고, 너덜트, 끄적끄적, 코믹숏무비, 숏코미디, 킥서비스, 웃기시네, 킬링타임, 숏플레이, 현정, 추석, 재벌, 부자, 금수저, 자낳괴, 자본주의가 낳은 괴물, 조폭여친, 커플, 재벌여친, 상여자들, 재벌 여친, 돈, 재밌다, 먹방, 무한리필, 빌런, 삼겹살, 삼겹살 먹방",23,먹방
RqqEHBaD7-Q,버거킹 단골들만 알고있다는 메뉴,#쇼츠 #버거 #햄버거 #버거킹 #메뉴 #먹방 #배달,https://www.youtube.com/watch?v=RqqEHBaD7-Q,2025-10-04,먹구원 Muk Gu One,UCoV5Bk4HQLIzWnuXbsmqdVQ,699141,4380,684,PT21S,https://i.ytimg.com/vi/RqqEHBaD7-Q/hqdefault.jpg,,22,먹방
c6q7cJ0riGA,먹방 편집을 할 수 밖에 없는 이유,,https://www.youtube.com/watch?v=c6q7cJ0riGA,2025-08-31,박홍 Bakkong,UC5wSrJoc5y-1Mq97czY3QgA,342777,4951,59,PT46S,https://i.ytimg.com/vi/c6q7cJ0riGA/hqdefault.jpg,"먹방, 비하인드",22,먹방
SDVVPcarLUs,모두가 기다렸던 나라별 불닭 먹방 촬영 비하인드,,https://www.youtube.com/watch?v=SDVVPcarLUs,2025-06-01,김켈리 Kellyfornia,UCmjjgsm51PYMPf5REDylbSA,5022327,53778,320,PT49S,https://i.ytimg.com/vi/SDVVPcarLUs/hqdefault.jpg,,23,먹방
uYYVJ-bkzAI,마라샹궈 계란초밥 싸게 먹는 꿀팁 공유합니다,,https://www.youtube.com/watch?v=uYYVJ-bkzAI,2025-10-16,돼끼 baby_pig_rabbit,UCW-QBEmxsme2FAONSnTjp-g,1109377,16559,67,PT37S,https://i.ytimg.com/vi/uYYVJ-bkzAI/hqdefault.jpg,,24,먹방
KeQVRHKduJ4,용암먹방,#shorts #용암먹방 #용암 #먹방,https://www.youtube.com/watch?v=KeQVRHKduJ4,2025-07-11,에드머 Edmmer,UCrpoE9e2-eWcj8AYvwYdebw,1503103,24600,806,PT53S,https://i.ytimg.com/vi/KeQVRHKduJ4/hqdefault.jpg,"shorts, 용암, 먹방, 용암먹방",22,먹방
U3HCuo1AxyE,진짜 비누 같은 초콜릿!🧼 이걸로 손도 씻어보자!,#shorts #비누 #초콜릿 #이모티콘 #이모티콘먹방 #먹방 #맛평가 #asmr,https://www.youtube.com/watch?v=U3HCuo1AxyE,2025-06-06,현오 HyunO,UCOMhpJThG8Ma8yQpTpf-kGA,2055298,29499,406,PT55S,https://i.ytimg.com/vi/U3HCuo1AxyE/hqdefault.jpg,,24,먹방
saHeWVJTIpk,유튜브 시작한 이후 가장 초호화 먹방,#쇼츠 #shorts #먹방 #asmr,https://www.youtube.com/watch?v=saHeWVJTIpk,2025-09-24,이상한 과자가게  weird sweets shop,UCNYE6N9YZmsUyReBLzE9x9Q,1719038,36561,328,PT1M1S,https://i.ytimg.com/vi/saHeWVJTIpk/hqdefault.jpg,,22,먹방
FM4QE-QjDDg,지니루미가 먹어보는 케데헌 음식 먹방🎤 #kpopdemonhunters #mukbang #케데헌,"지니루미가 먹어보는 케데헌 등장 음식들💗

#mukbang #jiniyum #kpopdemonhunter",https://www.youtube.com/watch?v=FM4QE-QjDDg,2025-09-20,지니얌 JINIYUM,UC1J8cQsaT6hdTtYOTiZy3LQ,394063,0,81,PT1M,https://i.ytimg.com/vi/FM4QE-QjDDg/hqdefault.jpg,"지니얌, 지니얌 먹방, jiniyum, 지니얌 케데헌, 케데헌 먹방, 케이팝데몬헌터스 먹방, kpop demon hunters, kpop demon hunters mukbang, 케데헌 루미, 루미 먹방, 케데헌 농심, 케데헌 음식, jiniyum kpop demon hunters",24,먹방
sCh86sb1JME,댓글에서 추천한 대로 부산 음식 다 먹기,"​ @wcfbusan  
 #부산여행 #깡통시장 #busantour #2025월크페
#먹방 #mukbang #시장음식 #부산
 #이재모 #떡볶이",https://www.youtube.com/watch?v=sCh86sb1JME,2025-10-14,오눌오눌,UCijSk9vvIsgi8HQrtVEaHjA,198494,3179,134,PT1M,https://i.ytimg.com/vi/sCh86sb1JME/hqdefault.jpg,"korean food, 부산, 먹방, mukbang, 부산시장, 깡통시장, 시장 먹방, 떡볶이, 이재모 피자, 피자, 야외 먹방, 부산 여행, busan travel, 먹방 브이로그, 브이로그",24,먹방
PTlMCe8Q9Dw,한시간만에 다먹으면 200만원 주는 챌린지??,,https://www.youtube.com/watch?v=PTlMCe8Q9Dw,2025-07-14,돼끼 baby_pig_rabbit,UCW-QBEmxsme2FAONSnTjp-g,6485274,70604,443,PT44S,https://i.ytimg.com/vi/PTlMCe8Q9Dw/hqdefault.jpg,,24,먹방
S7jiJ-4bQyQ,체중계 위에서 먹방한 쯔양,#쯔양 #먹방 #체중계,https://www.youtube.com/watch?v=S7jiJ-4bQyQ,2025-08-27,정말루,UCBtVmFQwXZmRXCQhqZLtg8A,4694839,55338,650,PT38S,https://i.ytimg.com/vi/S7jiJ-4bQyQ/hqdefault.jpg,,22,먹방
B2VWn7fBwTY,(초v중vs고) 학교에서 몰래 간식먹는 레벨,,https://www.youtube.com/watch?v=B2VWn7fBwTY,2025-06-22,김켈리 Kellyfornia,UCmjjgsm51PYMPf5REDylbSA,6308322,66320,527,PT26S,https://i.ytimg.com/vi/B2VWn7fBwTY/hqdefault.jpg,,23,먹방
